date,Podemos,Ciudadanos,PP,PSOE
11/1/16,23.5,15.7,29.7,20.9
18/1/16,23.4,13.3,29.6,21.2
1/2/16,24.4,17.3,26.8,22.1
8/2/16,24.7,14.9,27.9,20.8
15/2/16,24.7,15.2,27.7,21.6
22/2/16,26.1,16.7,26.2,21.2
1/3/16,24.3,15.3,28.9,22.2
7/3/16,23.7,17.3,27.5,22.5
14/3/16,23.5,16.6,28.2,21.5
28/3/16,22.8,18.8,27.7,21.0
4/4/16,24.0,15.3,29.3,21.8
11/4/16,24.2,16.3,29.2,21.2
25/4/16,24.2,15.4,29.0,20.8
2/5/16,24.2,15.7,28.7,21.3
9/5/16,23.6,15.7,30.3,20.7
16/5/16,23.9,15.2,29.6,20.4
23/5/16,24.5,14.7,29.9,21.2
30/5/16,24.8,14.8,29.2,21.1
6/6/16,24.9,14.4,29.6,21.3
13/6/16,24.8,14.5,29.7,21.1
20/6/16,24.9,14.1,30.7,21.2
